,X,Y,Z,M200c,Density,Contrast
7721,49.32673,9.88472,37.13869,45450000000.0,1151.06190785,1.24816778877
7722,50.64114,59.95587,35.89033,26140000000.0,1151.25616918,1.24854720543
7723,15.45732,3.16552,51.25025,21640000000.0,1151.41307257,1.24885365736
7724,8.56312,27.8708,8.02736,84740000000.0,1151.54008959,1.24910173749
7725,57.82214,39.48973,42.50307,6.26e+11,1152.01079975,1.25002109325
7726,34.69451,62.44538,35.40866,98730000000.0,1152.11166621,1.25021809806
7727,28.04986,2.88975,7.64982,1.012e+11,1152.22000426,1.25042969582
7728,27.62653,3.34805,7.98967,94730000000.0,1152.37317185,1.25072885127
7729,45.25605,61.1395,10.53111,32800000000.0,1152.38064344,1.25074344422
7730,37.2647,61.00031,35.75605,4.181e+11,1152.38064344,1.25074344422
7731,29.86057,31.70557,41.19094,23810000000.0,1152.44041616,1.25086018781
7732,11.23508,47.94545,50.53992,34630000000.0,1152.72807236,1.25142201633
7733,57.68925,28.99501,54.53745,31130000000.0,1152.78037349,1.25152416697
7734,30.96529,39.02698,2.56919,74590000000.0,1153.14648139,1.25223922146
7735,33.85098,38.2408,52.15158,53440000000.0,1153.19504672,1.25233407562
7736,32.47769,58.20779,16.39287,1.009e+11,1153.19504672,1.25233407562
7737,60.04197,45.24018,19.87848,21140000000.0,1153.36689328,1.25266971345
7738,25.28262,52.19815,48.97669,52780000000.0,1153.76288754,1.25344313973
7739,32.49583,58.24389,16.40279,6.077e+11,1154.05801533,1.2540195612
7740,23.98268,59.20176,47.99036,24640000000.0,1154.0841659,1.25407063652
7741,31.45982,61.67824,16.37377,60100000000.0,1154.0841659,1.25407063652
7742,27.87575,45.33226,62.08495,60600000000.0,1154.31952098,1.25453031441
7743,25.34074,52.24558,48.82104,7.678e+12,1154.592234,1.25506295703
7744,34.73403,62.35587,35.32462,1.518e+11,1154.61091298,1.25509943941
7745,62.82866,26.20032,59.10586,21140000000.0,1154.71177944,1.25529644421
7746,27.86173,45.34211,62.03825,39460000000.0,1154.90977657,1.25568315735
7747,62.81448,26.16834,59.16538,41120000000.0,1155.00690723,1.25587286569
7748,61.49217,35.91071,2.2812,30630000000.0,1155.04052939,1.25593853396
7749,21.09985,6.23692,40.82408,29470000000.0,1155.14513164,1.25614283524
7750,34.74901,62.35073,35.34015,5.353e+11,1155.16007482,1.25617202114
7751,25.34746,52.24469,49.14041,33130000000.0,1155.20116856,1.25625228235
7752,25.32307,50.97242,49.26947,22140000000.0,1155.29082764,1.25642739774
7753,25.3189,52.26883,49.07663,2.214e+11,1155.612106,1.25705489453
7754,27.8612,45.31507,62.07901,62930000000.0,1156.01557185,1.25784291376
7755,3.11711,21.7522,38.32959,50610000000.0,1156.13511728,1.25807640094
7756,25.30043,52.27543,49.05074,50450000000.0,1156.40409451,1.2586017471
7757,26.87962,43.75077,10.72576,1.091e+11,1156.486282,1.25876226953
7758,27.62962,63.01802,31.02383,35800000000.0,1156.51243256,1.25881334485
7759,61.31854,8.10644,58.91005,70760000000.0,1156.60956323,1.25900305319
7760,57.83479,39.4649,42.52184,6.451e+11,1156.62450641,1.25903223908
7761,48.78149,43.83438,44.43599,27470000000.0,1156.75899503,1.25929491216
7762,25.2033,52.24847,48.91561,34800000000.0,1156.87854046,1.25952839934
7763,28.23432,45.55723,62.97469,54770000000.0,1156.99061431,1.25974729357
7764,25.24679,52.29532,48.72876,56600000000.0,1157.06159441,1.25988592658
7765,25.34912,52.27921,49.18029,25970000000.0,1157.06159441,1.25988592658
7766,25.25667,52.28093,48.93367,95400000000.0,1157.09895236,1.25995889133
7767,36.90247,50.31752,32.93314,4.42e+11,1157.25585574,1.26026534325
7768,32.5931,58.39577,16.24028,46950000000.0,1157.35298641,1.26045505158
7769,48.62182,51.36846,32.15903,31300000000.0,1157.5771341,1.26089284004
7770,34.78483,62.26621,35.30322,29970000000.0,1157.70788692,1.26114821665
7771,43.90515,40.78719,13.42371,29800000000.0,1157.76392385,1.26125766376
7772,48.79574,43.82365,44.45175,39960000000.0,1157.79007441,1.26130873908
7773,56.37325,2.22861,35.17683,22310000000.0,1158.11882436,1.26195082882
7774,48.69478,51.37183,32.38183,1.295e+11,1158.20474764,1.26211864773
7775,63.42693,26.78804,57.7373,25470000000.0,1158.39527318,1.26249076793
7776,53.11503,8.14572,37.35388,33130000000.0,1158.70534415,1.2630963753
7777,34.79413,62.21673,35.26966,6.873e+11,1158.90334128,1.26348308844
7778,51.86118,39.06306,45.75541,42620000000.0,1158.97805718,1.26362901793
7779,10.74187,40.15749,1.24488,48450000000.0,1159.14990374,1.26396465575
7780,35.00162,60.09207,37.44535,33300000000.0,1159.17231851,1.26400843459
7781,55.43526,20.59427,5.67116,30300000000.0,1159.254506,1.26416895703
7782,60.27428,29.2702,2.57293,1.393e+11,1159.27318497,1.2642054394
7783,56.47366,1.01958,40.61181,75080000000.0,1159.51601164,1.26467971023
7784,4.26328,28.93568,8.43581,36130000000.0,1159.51601164,1.26467971023
7785,8.15237,0.99279,46.82222,20980000000.0,1159.97177861,1.2655698801
7786,33.86002,38.2809,52.15037,35800000000.0,1159.99045759,1.26560636248
7787,27.74452,3.17425,7.31825,30800000000.0,1160.15483256,1.26592740735
7788,29.49068,39.29966,1.66429,43450000000.0,1160.31920754,1.26624845222
7789,10.8242,22.89906,12.84661,32630000000.0,1160.3453581,1.26629952754
7790,48.7122,43.84249,44.36564,22810000000.0,1160.37150866,1.26635060286
7791,61.35714,8.09767,58.91589,70920000000.0,1160.420074,1.26644545703
7792,34.70994,62.08885,35.20782,21810000000.0,1160.62180692,1.26683946664
